layer,split,context_tokens,variant,cupti_median_ms,cupti_p95_ms,event_median_ms,event_p95_ms,cupti_reduction_vs_flashinfer_percent,event_reduction_vs_flashinfer_percent,cupti_reduction_vs_torch_percent,event_reduction_vs_torch_percent
0,test_normal,6144,flashinfer,1.6435345000000088,1.651090800000011,1.6543999910354614,1.665815991163254,,,,
0,test_normal,6144,fused_r13a_nsweep,1.3309275000000125,1.3414881500000164,1.3428320288658142,1.3490431904792786,19.0204099761821,18.83268640340369,33.838930528335204,34.34534752112919
0,test_normal,6144,torch,2.0116475000000067,2.022430649999975,2.0452960729599,2.048705565929413,,,,
0,test_normal,8192,flashinfer,2.192015999999996,2.207656700000036,2.2044479846954346,2.2146271347999575,,,,
0,test_normal,8192,fused_r13a_nsweep,1.8596640000000189,1.8671237000000003,1.8657439947128296,1.8720959424972534,15.161933124574725,15.364571644878259,31.137353589518888,31.566283045371776
0,test_normal,8192,torch,2.700540999999925,2.7052356999999754,2.7263519763946533,2.7330079317092895,,,,
0,test_normal,12288,flashinfer,3.263534499999965,3.2765621499999735,3.27236807346344,3.283903992176056,,,,
0,test_normal,12288,fused_r13a_nsweep,2.841101500000004,2.8554406999999937,2.84662401676178,2.859977555274963,12.944033531741898,13.010274123933042,30.165497679025446,30.52161308759907
0,test_normal,12288,torch,4.068334999999977,4.077577050000002,4.0971360206604,4.1077793598175045,,,,
0,test_normal,16384,flashinfer,4.34385599999997,4.358793800000025,4.353024005889893,4.370854210853577,,,,
0,test_normal,16384,fused_r13a_nsweep,3.8188290000000853,3.8290021999999966,3.8307679891586304,3.8440320968627932,12.086657568756623,11.997545063491946,29.798040378685588,29.852362311721738
0,test_normal,16384,torch,5.439775499999902,5.451083250000049,5.461007833480835,5.4729121923446655,,,,
0,test_hard,6144,flashinfer,1.6459824999999837,1.6496220000000226,1.6566080451011658,1.6603199779987334,,,,
0,test_hard,6144,fused_r13a_nsweep,1.3328809999999796,1.3418582000000052,1.3434560298919678,1.3498656153678894,19.0221645734391,18.903205023978646,33.727028933245045,34.15102569428681
0,test_hard,6144,torch,2.0111984999999546,2.0148801999999892,2.0402079820632935,2.045100724697113,,,,
0,test_hard,8192,flashinfer,2.1966244999999764,2.199869300000035,2.2030400037765503,2.2090303540229796,,,,
0,test_hard,8192,fused_r13a_nsweep,1.8573280000000232,1.8708503000000136,1.8651679754257202,1.8792319834232332,15.446267671145291,15.33662701410935,31.089992004584122,31.550453999593138
0,test_hard,8192,torch,2.695294999999969,2.700026299999915,2.7248799800872803,2.729524779319763,,,,
0,test_hard,12288,flashinfer,3.2603010000000356,3.2716437499999955,3.270128011703491,3.280249500274658,,,,
0,test_hard,12288,fused_r13a_nsweep,2.8522060000000202,2.860291199999975,2.8576000928878784,2.8654542922973634,12.517095814159827,12.615038840657395,29.935198424196198,30.233827820976284
0,test_hard,12288,torch,4.070811500000025,4.082660249999951,4.095968008041382,4.106596970558167,,,,
0,test_hard,16384,flashinfer,4.337376999999892,4.349320500000077,4.345600128173828,4.358145427703858,,,,
0,test_hard,16384,fused_r13a_nsweep,3.830095999999976,3.8564547999999688,3.842463970184326,3.8678751945495606,11.695570848462749,11.578059258778078,29.607643205342864,29.631593792598167
0,test_hard,16384,torch,5.441068000000087,5.457704549999991,5.460495948791504,5.477854299545288,,,,
15,test_normal,6144,flashinfer,1.6702170000000078,1.6784004999999844,1.682208001613617,1.691440010070801,,,,
15,test_normal,6144,fused_r13a_nsweep,1.3536125000000103,1.3589906999999979,1.360111951828003,1.3646111845970155,18.95589016277502,19.14721898104463,32.89204077009068,33.48903445581041
15,test_normal,6144,torch,2.0170670000000825,2.0219851999999947,2.044943928718567,2.052107095718384,,,,
15,test_normal,8192,flashinfer,2.23225099999996,2.239410599999996,2.2428959608078003,2.253414356708527,,,,
15,test_normal,8192,fused_r13a_nsweep,1.8728424999999989,1.8793485500000164,1.8791199922561646,1.8841632425785064,16.100720752279535,16.21902999105756,30.73165616858937,31.192364846316224
15,test_normal,8192,torch,2.7037494999999323,2.709234449999987,2.7309759855270386,2.7381503224372867,,,,
15,test_normal,12288,flashinfer,3.318758000000031,3.33092670000003,3.3300799131393433,3.3417600274085997,,,,
15,test_normal,12288,fused_r13a_nsweep,2.877431000000011,2.8821807999999702,2.886960029602051,2.900318372249603,13.29795664522739,13.306584078925395,29.52124119070813,29.71689499837189
15,test_normal,12288,torch,4.082692499999947,4.094419000000045,4.107615947723389,4.119265723228454,,,,
15,test_normal,16384,flashinfer,4.396496500000067,4.410413400000001,4.407311916351318,4.431372570991516,,,,
15,test_normal,16384,fused_r13a_nsweep,3.880211999999985,3.899172650000037,3.8868000507354736,3.902556765079498,11.743089071038135,11.810188965403677,28.879268156332483,29.049995177857
15,test_normal,16384,torch,5.455809999999984,5.46822349999999,5.47822380065918,5.485806298255921,,,,
15,test_hard,6144,flashinfer,1.6685059999999794,1.6734761000000167,1.681439995765686,1.684836781024933,,,,
15,test_hard,6144,fused_r13a_nsweep,1.3532119999999632,1.3583347500000071,1.3611040115356445,1.3667983651161195,18.89678550751511,19.051288481107434,32.81331805775361,33.422812217377945
15,test_hard,6144,torch,2.014107500000049,2.0176781500000596,2.0443999767303467,2.049838399887085,,,,
15,test_hard,8192,flashinfer,2.2322169999999897,2.2383258500000216,2.241152048110962,2.2461184978485105,,,,
15,test_hard,8192,fused_r13a_nsweep,1.8811294999999517,1.887056900000002,1.8877919912338257,1.895393544435501,15.728197572191215,15.766893512422723,30.400443689752294,30.859430718328646
15,test_hard,8192,torch,2.7027894999999846,2.7065229500000614,2.7303680181503296,2.7364863634109495,,,,
15,test_hard,12288,flashinfer,3.317559500000032,3.331511200000028,3.329311966896057,3.341969704627991,,,,
15,test_hard,12288,fused_r13a_nsweep,2.883863500000036,2.893644849999984,2.8899039030075073,2.8993248462677,13.072742176892142,13.198164313157271,29.301605804699978,29.594491807849305
15,test_hard,12288,torch,4.079107499999983,4.08617109999997,4.104655981063843,4.117411112785339,,,,
15,test_hard,16384,flashinfer,4.393234499999948,4.403427399999938,4.407632112503052,4.4178673982620245,,,,
15,test_hard,16384,fused_r13a_nsweep,3.88395699999998,3.893300600000036,3.890079975128174,3.9035968542099,11.59231313511659,11.742180929908987,28.750624516678954,28.94966180259918
15,test_hard,16384,torch,5.451215499999977,5.459540500000044,5.475104093551636,5.482166290283203,,,,
30,test_normal,6144,flashinfer,1.668162499999984,1.6755194999999876,1.6786239743232727,1.6872751653194427,,,,
30,test_normal,6144,fused_r13a_nsweep,1.3608649999999942,1.371240499999997,1.3695200085639954,1.3806831777095794,18.421316868110434,18.41412790996809,32.52841983087924,33.26914197646569
30,test_normal,6144,torch,2.0169455000000305,2.020660050000001,2.052303910255432,2.061417508125305,,,,
30,test_normal,8192,flashinfer,2.2276659999999975,2.234282400000003,2.242784023284912,2.248169589042664,,,,
30,test_normal,8192,fused_r13a_nsweep,1.890722000000009,1.9018226499999846,1.8936479687690735,1.904163157939911,15.1254272408875,15.567083182823534,30.129058519696358,30.832619601125657
30,test_normal,8192,torch,2.706020499999984,2.715744099999947,2.737776041030884,2.7432560086250306,,,,
30,test_normal,12288,flashinfer,3.3311599999999597,3.341756549999972,3.3481600284576416,3.355609655380249,,,,
30,test_normal,12288,fused_r13a_nsweep,2.8992044999999926,2.9217850999999673,2.9035840034484863,2.9275840401649473,12.967119561953563,13.278219118276525,29.062459780835567,29.38425237877412
30,test_normal,12288,torch,4.086981999999974,4.0960944999999995,4.1118080615997314,4.1223839044570925,,,,
30,test_normal,16384,flashinfer,4.436034000000014,4.4489877999999905,4.44483208656311,4.456662225723266,,,,
30,test_normal,16384,fused_r13a_nsweep,3.9131865000000543,3.9302944999999543,3.9153759479522705,3.9364000082015993,11.786372692363441,11.911724184393941,28.35015275905326,28.541311797864527
30,test_normal,16384,torch,5.46154199999987,5.473563800000024,5.4792160987854,5.49585452079773,,,,
30,test_hard,6144,flashinfer,1.6748354999999866,1.6809385000000039,1.6851680278778076,1.689113587141037,,,,
30,test_hard,6144,fused_r13a_nsweep,1.3618899999999994,1.3677709999999759,1.3698079586029053,1.3748463451862334,18.685148481745802,18.713864971200916,32.49967164038443,33.053653757485215
30,test_hard,6144,torch,2.017604999999967,2.020902249999953,2.046128034591675,2.055027186870575,,,,
30,test_hard,8192,flashinfer,2.2387544999999665,2.24413724999998,2.250175952911377,2.257316732406616,,,,
30,test_hard,8192,fused_r13a_nsweep,1.8874424999999757,1.895815250000004,1.8946719765663147,1.9004831671714784,15.692296765902471,15.798941228800153,30.31742257799111,30.665145897277352
30,test_hard,8192,torch,2.7086289999999864,2.7144034500000256,2.732640027999878,2.7411952495574954,,,,
30,test_hard,12288,flashinfer,3.341347500000018,3.352218600000035,3.348703980445862,3.3610655069351196,,,,
30,test_hard,12288,fused_r13a_nsweep,2.887766000000018,2.8993133500000083,2.897808074951172,2.906881558895111,13.574807768422705,13.464788411505266,29.33905126563776,29.50662067595946
30,test_hard,12288,torch,4.086792000000001,4.0982499500000324,4.110752105712891,4.124967956542969,,,,
30,test_hard,16384,flashinfer,4.437849499999983,4.452116799999958,4.451200008392334,4.467611026763916,,,,
30,test_hard,16384,fused_r13a_nsweep,3.912357000000047,3.9296338499999255,3.9207680225372314,3.9357536911964415,11.84115189124682,11.9166064174834,28.36136634928402,28.447080517464336
30,test_hard,16384,torch,5.461239000000031,5.474239149999895,5.479536056518555,5.499012970924378,,,,
45,test_normal,6144,flashinfer,1.6800135000000227,1.6944008500000165,1.692624032497406,1.7070080518722535,,,,
45,test_normal,6144,fused_r13a_nsweep,1.355387999999999,1.3714926000000065,1.3641279935836792,1.3813776254653929,19.32279115614365,19.4075017609813,32.81520846355171,33.54534728839411
45,test_normal,6144,torch,2.017402999999918,2.0254981999999186,2.052720069885254,2.058412718772888,,,,
45,test_normal,8192,flashinfer,2.244266499999998,2.261569150000006,2.2583839893341064,2.281859254837036,,,,
45,test_normal,8192,fused_r13a_nsweep,1.8780740000000296,1.9031417999999731,1.8874239921569824,1.9055728018283844,16.31680105727055,16.42590449317271,30.57605189956267,31.05189874376868
45,test_normal,8192,torch,2.7052249999999622,2.7192316999999355,2.7374560832977295,2.75156170129776,,,,
45,test_normal,12288,flashinfer,3.353463000000076,3.392294750000045,3.3665599822998047,3.4079232335090635,,,,
45,test_normal,12288,fused_r13a_nsweep,2.887688000000024,2.913509599999999,2.9005759954452515,2.937265586853027,13.889373462597968,13.841547137271698,29.38931171715091,29.59110817214176
45,test_normal,12288,torch,4.08959050000002,4.1110249499998535,4.1196160316467285,4.145232081413269,,,,
